ID	A	A-coref	A-offset	B	B-coref	B-offset	Pronoun	Pronoun-offset	Text
dpr-train-0	The bee	False	0	the flower	True	18	it	37	The bee landed on the flower because it had pollen.
dpr-train-1	The bee	True	0	the flower	False	18	it	37	The bee landed on the flower because it wanted pollen.
dpr-train-2	Debbie	True	5	Tina	False	21	she	27	When Debbie splashed Tina, she got in trouble.
dpr-train-3	Debbie	False	5	Tina	True	21	she	27	When Debbie splashed Tina, she got wet.
dpr-train-4	The bus driver	True	0	a kid	False	25	she	37	The bus driver yelled at a kid after she drove her vehicle.
dpr-train-5	The bus driver	False	0	a kid	True	25	she	37	The bus driver yelled at a kid after she broke a window.
dpr-train-6	Jimbo	False	0	Bobbert	True	23	he	39	Jimbo was running from Bobbert because he smelled awful.
dpr-train-7	Jimbo	True	0	Bobbert	False	23	he	39	Jimbo was running from Bobbert because he wanted to get to the car first.
dpr-train-8	Jimbo	False	0	Bobbert	True	15	he	31	Jimbo attacked Bobbert because he stole an elephant from the zoo.
dpr-train-9	Jimbo	True	0	Bobbert	False	15	he	31	Jimbo attacked Bobbert because he could not control his rage.
dpr-train-10	Jimbo	True	0	Bobbert	False	20	she	36	Jimbo was afraid of Bobbert because she gets scared around new people.
dpr-train-11	Jimbo	False	0	Bobbert	True	20	she	36	Jimbo was afraid of Bobbert because she was running around with a bloody spear.
dpr-train-12	The man	True	0	the neighbor	False	14	he	42	The man stole the neighbor's bike because he needed one.
dpr-train-13	The man	False	0	the neighbor	True	14	he	42	The man stole the neighbor's bike because he had one extra.
dpr-train-14	The bird	True	0	the pie	False	13	it	25	The bird ate the pie and it died.
dpr-train-15	The bird	False	0	the pie	True	13	it	25	The bird ate the pie and it was ruined.
dpr-train-16	The bird	False	0	the limb	True	20	it	33	The bird perched on the limb and it bent.
dpr-train-17	The bird	True	0	the limb	False	20	it	33	The bird perched on the limb and it sang.
dpr-train-18	Mary	False	0	Susan	True	13	she	30	Mary cleaned Susan's room and she was thankful.
dpr-train-19	Mary	True	0	Susan	False	13	she	30	Mary cleaned Susan's room and she asked a favor.
dpr-train-20	Mary	False	0	Jennifer	True	13	her	36	Mary stabbed Jennifer, so John took her to the hospital.
dpr-train-21	Mary	True	0	Jennifer	False	13	her	40	Mary stabbed Jennifer, so John reported her to the police.
dpr-train-22	Lions	True	0	zebras	False	10	they	25	Lions eat zebras because they are predators.
dpr-train-23	Lions	False	0	zebras	True	10	they	25	Lions eat zebras because they are meaty.
dpr-train-24	The coach	False	0	the player	True	21	he	40	The coach criticized the player because he did not adhere to the team's formation.
dpr-train-25	The coach	True	0	the player	False	21	he	40	The coach criticized the player because he explicitly told everyone not to break the team's formation.
dpr-train-26	The academic clubs	True	0	their members	False	24	they	46	The academic clubs lost their members because they were poorly funded.
dpr-train-27	The academic clubs	False	0	their members	True	24	they	46	The academic clubs lost their members because they did not have free time.
dpr-train-28	James	False	0	Robert	True	12	he	36	James asked Robert for a favor, but he refused.
dpr-train-29	James	True	0	Robert	False	12	he	36	James asked Robert for a favor, but he was refused.
dpr-train-30	The teacher	False	0	William	True	30	he	46	The teacher did not recommend William because he was not a good student.
dpr-train-31	The teacher	True	0	William	False	30	he	46	The teacher did not recommend William because he had high standards.
dpr-train-32	The doctor	False	0	Susan	True	16	she	27	The doctor told Susan that she had cancer.
dpr-train-33	The doctor	True	0	Susan	False	16	she	27	The doctor told Susan that she had been busy.
dpr-train-34	The professor	False	0	the student	True	22	he	52	The professor grading the student's paper said that he was stupid.
dpr-train-35	The professor	True	0	the student	False	22	he	52	The professor grading the student's paper said that he loved it.
dpr-train-36	Jeremy	False	0	Justin	True	15	he	25	Jeremy annoyed Justin so he can leave the room.
dpr-train-37	Jeremy	True	0	Justin	False	15	he	25	Jeremy annoyed Justin so he can have the room.
dpr-train-38	Ness	True	12	Pokey	False	27	he	41	Paula liked Ness more than Pokey because he was nice to her.
dpr-train-39	Ness	False	12	Pokey	True	27	he	41	Paula liked Ness more than Pokey because he was mean to her.
dpr-train-40	Rocky	True	0	Clubber Lang	False	14	he	35	Rocky lost to Clubber Lang because he was not ready for the fight.
dpr-train-41	Rocky	False	0	Clubber Lang	True	14	he	35	Rocky lost to Clubber Lang because he was ready for the fight.
dpr-train-42	Aaron	True	0	Dan	False	13	he	25	Aaron kissed Dan because he wanted to.
dpr-train-43	Aaron	False	0	Dan	True	13	he	25	Aaron kissed Dan because he wanted him to.
dpr-train-44	The students	False	0	the professor's lectures	True	32	they	65	The students fell asleep during the professor's lectures because they were boring.
dpr-train-45	The students	True	0	the professor's lectures	False	32	they	65	The students fell asleep during the professor's lectures because they were bored.
dpr-train-46	Derrick	True	0	his boss	False	15	he	40	Derrick begged his boss for a raise but he did not get one.
dpr-train-47	Derrick	False	0	his boss	True	15	he	40	Derrick begged his boss for a raise but he did not give one.
dpr-train-48	The jurors	True	0	the defendants	False	26	they	62	The jurors deliberated on the defendants' fate for hours, but they did not reach a verdict.
dpr-train-49	The jurors	False	0	the defendants	True	26	they	62	The jurors deliberated on the defendants' fate for hours, but they didn't receive the death penalty.
dpr-train-50	The orchestra	True	0	the audience	False	27	they	48	The orchestra was booed by the audience because they had performed poorly.
dpr-train-51	The orchestra	False	0	the audience	True	27	they	48	The orchestra was booed by the audience because they had expected a rock band.
dpr-train-52	Jacob	False	0	William	True	11	he	33	Jacob gave William money because he needed some.
dpr-train-53	Jacob	True	0	William	False	11	he	33	Jacob gave William money because he sold the car.
dpr-train-54	Alexandra	True	0	Kelly	False	15	she	49	Alexandra told Kelly not to get a tattoo because she raised her conservatively.
dpr-train-55	Alexandra	False	0	Kelly	True	15	she	49	Alexandra told Kelly not to get a tattoo because she would seem unprofessional.
dpr-train-56	Olivia	False	0	Emily	True	24	she	35	Olivia tried to counsel Emily, but she was not interested.
dpr-train-57	Olivia	True	0	Emily	False	24	she	35	Olivia tried to counsel Emily, but she was rejected.
dpr-train-58	James	True	0	Sully	False	14	he	33	James went to Sully's arcade and he asked for tickets.
dpr-train-59	James	False	0	Sully	True	14	he	33	James went to Sully's arcade but he refused to let him in.
dpr-train-60	Kurt	True	0	Alex	False	13	he	31	Kurt flew in Alex's plane, and he thanked him.
dpr-train-61	Kurt	False	0	Alex	True	13	he	31	Kurt flew in Alex's plane, and he asked him to come again.
dpr-train-62	Bill	False	0	John	True	19	him	49	Bill was robbed by John, so the officer arrested him.
dpr-train-63	Bill	True	0	John	False	19	him	47	Bill was robbed by John, so the officer helped him.
dpr-train-64	snow	True	7	the smiley face	False	15	it	39	He put snow on the smiley face because it was wet.
dpr-train-65	snow	False	7	the smiley face	True	15	it	39	He put snow on the smiley face because it was dry.
dpr-train-66	The kitten	False	0	the yarn	True	23	it	40	The kitten played with the yarn because it was fun.
dpr-train-67	The kitten	True	0	the yarn	False	23	it	40	The kitten played with the yarn because it was bored.
dpr-train-68	the tree	True	15	my axe	False	29	it	44	I chopped down the tree with my axe because it was tall.
dpr-train-69	the tree	False	15	my axe	True	29	it	44	I chopped down the tree with my axe because it was sharp.
dpr-train-70	Spiderman	True	0	Magnito	False	19	he	35	Spiderman defeated Magnito because he is a good guy.
dpr-train-71	Spiderman	False	0	Magnito	True	19	he	35	Spiderman defeated Magnito because he is a bad guy.
